13679	"PTB_WSJ"	"PaineWebber"	"Frawley"	17	20	8943		
13680	"PTB_WSJ"	"PaineWebber"	"Grubman"	16	19	11088		
13681	"PTB_WSJ"	"PaineWebber"	"Ross"	16	19	8995		
13687	"PTB_WSJ"	"Peabody"	"Jarrett"	2	5	9287		
13695	"PTB_WSJ"	"pilots"	"Dubinsky"	2	5	14699		
							
13661	"PTB_WSJ"	"Oppenheimer"	"Palmero"	1	4	8981		
13652	"PTB_WSJ"	"Nomura"	"Kato"	22	25	1124		
13653	"PTB_WSJ"	"Nomura"	"Littleboy"	17	20	32169		
13721	"PTB_WSJ"	"Sachs"	"Einhorn"	2	5	25049		
13723	"PTB_WSJ"	"Salomon"	"Lloyd"	21	24	25452		
13732	"PTB_WSJ"	"SEC"	"Lane"	2	5	25		
13745	"PTB_WSJ"	"Sotheby"	"Levitt"	17	20	38718		
13758	"PTB_WSJ"	"Stearns"	"Schneider"	9	12	2628		
13811	"PTB_WSJ"	"Transportation"	"Skinner"	27	30	24528		
13812	"PTB_WSJ"	"Treasury"	"Brady"	32	35	24528		
13816	"PTB_WSJ"	"Trust"	"Woodland"	2	5	34897		
13842	"PTB_WSJ"	"USAir"	"Colodny"	15	18	34106		
13851	"PTB_WSJ"	"Warner"	"Rabinowitz"	4	7	7257		
13861	"PTB_WSJ"	"WLF"	"Slobodin"	16	19	21756		
13864	"PTB_WSJ"	"Woolworth"	"Sells"	19	22	29249		
13868	"PTB_WSJ"	"Yankees"	"White"	34	37	239		
13852	"PTB_WSJ"	"Warner"	"Ross"	7	10	28701		
13755	"PTB_WSJ"	"State"	"Norton"	22	25	16878		
13738	"PTB_WSJ"	"Shearson"	"Will"	2	6	38026		
13748	"PTB_WSJ"	"Sox"	"Yastrzemski"	14	17	239		
13716	"PTB_WSJ"	"Resources"	"Wyss"	2	5	8358		
13713	"PTB_WSJ"	"Read"	"Stark"	2	5	39626		
13709	"PTB_WSJ"	"Prudential-Bache"	"Rodgers"	1	4	2394		
13649	"PTB_WSJ"	"Nikko"	"Conlon"	1	4	36925		
13647	"PTB_WSJ"	"NBC"	"Watson"	12	15	15679		
13615	"PTB_WSJ"	"McDonald"	"Millis"	1	4	16243		
13595	"PTB_WSJ"	"Lehman"	"Devario"	4	7	2399		
13596	"PTB_WSJ"	"Lehman"	"Glucksman"	42	45	35913		
13402	"PTB_WSJ"	"HUD"	"Kemp"	22	25	24528		
13316	"PTB_WSJ"	"Hewlett-Packard"	"Archuleta"	22	25	11458		
13317	"PTB_WSJ"	"Hewlett-Packard"	"Archuleta"	17	20	11483		
13300	"PTB_WSJ"	"Harvard"	"Meselson"	1	4	17251		
13301	"PTB_WSJ"	"Harvard"	"Tribe"	1	4	34741		
13260	"PTB_WSJ"	"Fleming"	"Noble"	17	20	9931		
13271	"PTB_WSJ"	"Georgia-Pacific"	"Hahn"	1	4	2358		
13276	"PTB_WSJ"	"GM"	"Barabba"	12	15	22675		
13290	"PTB_WSJ"	"Grisebach"	"Reuter"	39	42	37495		
13293	"PTB_WSJ"	"group"	"Cahoon"	2	5	1741		
13232	"PTB_WSJ"	"ESPN"	"Werner"	25	28	15713		
13237	"PTB_WSJ"	"Express"	"Robinson"	5	8	21242		
13224	"PTB_WSJ"	"Drexel"	"Demler"	3	6	4311		
13225	"PTB_WSJ"	"Drexel"	"Feinman"	10	13	39708		
13229	"PTB_WSJ"	"Edison"	"Roskind"	12	15	32619		
13187	"PTB_WSJ"	"Contel"	"Wohlstetter"	1	4	7669		
13188	"PTB_WSJ"	"Core"	"Lynn"	18	21	27512		
13189	"PTB_WSJ"	"Corp."	"Araskog"	39	42	7671		
13191	"PTB_WSJ"	"Corp."	"Johnson"	32	35	7671		
13136	"PTB_WSJ"	"Caltrans"	"Drago"	1	4	34595		
13137	"PTB_WSJ"	"Campeau"	"Sanger"	1	4	14556		
13138	"PTB_WSJ"	"Campo"	"Campo"	13	16	37497		
13134	"PTB_WSJ"	"Burnham"	"Reidy"	2	5	30065		
13130	"PTB_WSJ"	"Boston"	"Lidgerwood"	2	6	2656		
13083	"PTB_WSJ"	"ABC"	"Koppel"	18	21	20970		
13097	"PTB_WSJ"	"Amicable"	"Gilchrist"	18	21	32083		
13116	"PTB_WSJ"	"Barney"	"Doyle"	3	6	14797		
13119	"PTB_WSJ"	"Battelle"	"McCall"	1	4	39315		
13127	"PTB_WSJ"	"Bloomingdale"	"Traub"	28	31	15455		
13730	"PTB_WSJ"	"SEC"	"Breeden"	2	5	14938		
13613	"PTB_WSJ"	"mart"	"Antonini"	3	6	39591		
13809	"PTB_WSJ"	"Times"	"Jr"	53	57	12869		
13717	"PTB_WSJ"	"RIT"	"Spaull"	13	16	22761		
							
718	"PTB_WSJ"	"Cowboys"	"Jones"	6	9	23343		

