1849	"PTB_WSJ"	"her"	"fear"	4	6	17607		
1850	"PTB_WSJ"	"its"	"fear"	14	15	11210		
1851	"PTB_WSJ"	"Our"	"fear"	2	3	26445		
1852	"PTB_WSJ"	"her"	"fears"	14	15	24242		
1853	"PTB_WSJ"	"my"	"fears"	10	11	32033		
1854	"PTB_WSJ"	"observers"	"fears"	7	9	19603		
1855	"PTB_WSJ"	"voters"	"fears"	9	11	10905		
							
2008	"PTB_WSJ"	"my"	"opinion"	6	7	5184		
2009	"PTB_WSJ"	"My"	"opinion"	2	5	6994		
2010	"PTB_WSJ"	"my"	"opinion"	2	3	10843		
2011	"PTB_WSJ"	"their"	"opinion"	18	20	20397		
2012	"PTB_WSJ"	"Their"	"opinion"	2	3	23096		
2013	"PTB_WSJ"	"your"	"opinion"	3	8	16340		
2014	"PTB_WSJ"	"Asman"	"opinions"	24	26	23484		
2015	"PTB_WSJ"	"people"	"opinions"	13	15	19760		
							
2016	"PTB_WSJ"	"his"	"perception"	17	18	23427		
2017	"PTB_WSJ"	"investors"	"perception"	9	11	33540		
2018	"PTB_WSJ"	"author"	"perceptions"	18	20	24933		
2019	"PTB_WSJ"	"their"	"perceptions"	19	20	27145		
2020	"PTB_WSJ"	"its"	"opinion"	10	12	2857		
2021	"PTB_WSJ"	"Baltimore"	"opinion"	28	32	25297		
2022	"PTB_WSJ"	"his"	"opinion"	27	28	1435		
2023	"PTB_WSJ"	"his"	"opinion"	7	8	35317		
							
2052	"PTB_WSJ"	"Reagan"	"values"	11	14	12879		
							
2127	"PTB_WSJ"	"her"	"intent"	14	15	18019		
2128	"PTB_WSJ"	"Our"	"intent"	2	3	10816		
2129	"PTB_WSJ"	"company"	"intention"	8	10	20876		
2130	"PTB_WSJ"	"his"	"intention"	23	24	1854		
2131	"PTB_WSJ"	"its"	"intention"	19	20	13677		
2132	"PTB_WSJ"	"its"	"intention"	8	9	21279		
2133	"PTB_WSJ"	"its"	"intention"	18	19	37784		
2134	"PTB_WSJ"	"Nashua"	"intention"	4	7	6003		
2135	"PTB_WSJ"	"their"	"intention"	22	24	21651		
2136	"PTB_WSJ"	"Workers"	"intention"	4	6	31148		
2137	"PTB_WSJ"	"affiliates"	"intentions"	12	14	35953		
2138	"PTB_WSJ"	"his"	"intentions"	9	10	3964		
2139	"PTB_WSJ"	"his"	"intentions"	26	27	11876		
2140	"PTB_WSJ"	"his"	"intentions"	21	22	25936		
2141	"PTB_WSJ"	"Icahn"	"intentions"	29	31	16334		
2142	"PTB_WSJ"	"Paribas"	"intentions"	5	7	12044		
2143	"PTB_WSJ"	"people"	"intentions"	23	26	3710		
2144	"PTB_WSJ"	"their"	"intentions"	33	34	8772		
2145	"PTB_WSJ"	"their"	"intentions"	11	12	33926		
2146	"PTB_WSJ"	"your"	"intentions"	18	20	20948		
							
2163	"PTB_WSJ"	"Allen"	"view"	8	11	37454		
2164	"PTB_WSJ"	"boss"	"view"	7	10	19436		
2165	"PTB_WSJ"	"Connolly"	"view"	21	23	9283		
2166	"PTB_WSJ"	"Department"	"view"	3	5	7890		
2167	"PTB_WSJ"	"Her"	"view"	1	2	9298		
2168	"PTB_WSJ"	"her"	"view"	6	8	21584		
2169	"PTB_WSJ"	"his"	"view"	39	40	4741		
2170	"PTB_WSJ"	"his"	"view"	12	13	13717		
2171	"PTB_WSJ"	"its"	"view"	24	26	15887		
2172	"PTB_WSJ"	"makers"	"view"	16	19	13538		
2173	"PTB_WSJ"	"manager"	"view"	12	14	27157		
2174	"PTB_WSJ"	"my"	"view"	15	16	10194		
2175	"PTB_WSJ"	"my"	"view"	28	29	13033		
2176	"PTB_WSJ"	"my"	"view"	32	33	20952		
2177	"PTB_WSJ"	"my"	"view"	3	4	39515		
2178	"PTB_WSJ"	"our"	"view"	20	21	10383		
2179	"PTB_WSJ"	"our"	"view"	10	11	16355		
