13082	"PTB_WSJ"	"A"	"reliever"	11	13	6753		
13084	"PTB_WSJ"	"administration"	"strategist"	24	27	35188		
13085	"PTB_WSJ"	"Afghanistan"	"troops"	1	3	2894		
13086	"PTB_WSJ"	"agency"	"administrator"	18	21	32373		
13089	"PTB_WSJ"	"agency"	"specialist"	31	34	39503		
							
13093	"PTB_WSJ"	"Airlines"	"committee"	2	5	5412		
13094	"PTB_WSJ"	"Airlines"	"committee"	2	5	36761		
13095	"PTB_WSJ"	"Allen"	"commissioners"	2	4	37435		
13096	"PTB_WSJ"	"alliance"	"group"	18	22	22063		
							
13104	"PTB_WSJ"	"Arabia"	"minister"	2	5	30685		
							
							
13107	"PTB_WSJ"	"Army"	"Group"	33	38	36380		
13108	"PTB_WSJ"	"Assembly"	"committee"	36	39	29475		
13109	"PTB_WSJ"	"association"	"body"	4	8	8227		
13110	"PTB_WSJ"	"Association"	"council"	53	56	14009		
13111	"PTB_WSJ"	"Association"	"Group"	34	39	29138		
13115	"PTB_WSJ"	"bar"	"committee"	69	74	8228		
13117	"PTB_WSJ"	"Barre"	"regime"	19	21	23672		
13118	"PTB_WSJ"	"Barre"	"troops"	20	22	23647		
							
13121	"PTB_WSJ"	"Beers"	"manager"	21	24	16681		
13123	"PTB_WSJ"	"Belli"	"staff"	4	6	29908		
13126	"PTB_WSJ"	"Bloomingdale"	"spokesman"	22	24	15450		
13129	"PTB_WSJ"	"Board"	"traders"	7	11	14919		
13131	"PTB_WSJ"	"Boys"	"singer"	11	14	32825		
13133	"PTB_WSJ"	"Britain"	"representative"	1	4	37502		
13135	"PTB_WSJ"	"Bush"	"committee"	6	10	20700		
13139	"PTB_WSJ"	"Carat"	"brothers"	1	4	32953		
13884	"PTB_WSJ"	"Carolina"	"delegation"	2	5	1749		
13143	"PTB_WSJ"	"Chamber"	"advocate"	29	34	37293		
13144	"PTB_WSJ"	"Chamber"	"economist"	15	18	35186		
13145	"PTB_WSJ"	"Chemical"	"group"	6	10	2113		
13148	"PTB_WSJ"	"Christie"	"spokeswoman"	2	4	34812		
13149	"PTB_WSJ"	"Christies"	"group"	18	20	11867		
13152	"PTB_WSJ"	"Citicorp"	"spokesman"	1	3	36984		
13153	"PTB_WSJ"	"city"	"analysts"	32	36	23519		
13154	"PTB_WSJ"	"city"	"Board"	30	32	10917		
13155	"PTB_WSJ"	"city"	"Board"	20	22	24565		
13156	"PTB_WSJ"	"city"	"Board"	4	7	30242		
13158	"PTB_WSJ"	"city"	"lawyers"	30	35	29877		
13162	"PTB_WSJ"	"Command"	"bureaucracy"	2	5	38534		
13164	"PTB_WSJ"	"Committee"	"Force"	23	27	20705		
13165	"PTB_WSJ"	"Committee"	"Republican"	3	6	20957		
13166	"PTB_WSJ"	"company"	"Board"	20	25	26281		
13185	"PTB_WSJ"	"Connecticut"	"administrator"	4	8	5270		
13190	"PTB_WSJ"	"Corp."	"counsel"	3	6	8182		
13192	"PTB_WSJ"	"countries"	"ministers"	7	11	37041		
13193	"PTB_WSJ"	"country"	"Court"	2	5	8010		
13194	"PTB_WSJ"	"country"	"courts"	18	20	35323		
13195	"PTB_WSJ"	"country"	"judges"	4	7	34710		
13196	"PTB_WSJ"	"country"	"negotiator"	35	39	34428		
13198	"PTB_WSJ"	"county"	"administrator"	41	45	967		
13199	"PTB_WSJ"	"County"	"lawyers"	5	7	959		
13200	"PTB_WSJ"	"court"	"judge"	10	13	13004		
13201	"PTB_WSJ"	"creditors"	"committee"	11	13	4189		
13202	"PTB_WSJ"	"creditors"	"committees"	12	14	16032		
13203	"PTB_WSJ"	"creditors"	"professionals"	7	9	36774		
13205	"PTB_WSJ"	"Crowntuft"	"group"	15	18	5949		
2555	"PTB_WSJ"	"Czechoslovakia"	"minister"	13	17	30674		
